date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,corr_elevated,z_elevated,mean_abs_corr,z,z_rule,sigma_hat,sigma_star,lookback,corr_lookback_months,f_min,f_max,g_min,cash_ticker,cash_price_source,thin_history_tickers,include_thin,n_sleeves,n_thin_sleeves,n_panel_names_eligible,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2022-10-31,2022-11-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.6901394869859467,0.5,0.34506974349297337,True,True,True,0.75275382314917,0.27667904743353094,mkt_vol,0.2854178778290848,0.1969781477815822,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.04370633221779295,2.1853166108896477e-05,0.24154882044508133,0.06901394869859467,0.03450697434929734,0.6549302565070266
2022-11-30,2022-12-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.6718848956318167,0.5,0.3359424478159084,True,True,True,0.7658413502650525,0.2775856062939668,mkt_vol,0.29833526766348056,0.20044696017736774,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.00912729567706502,4.56364783853251e-06,0.23515971347113584,0.06718848956318167,0.033594244781590836,0.6640575521840917
2022-12-30,2023-01-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.7587270590994803,0.17920683903564846,mkt_vol,0.18701026165764675,0.20128244480993984,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.16405755218409168,8.202877609204583e-05,0.35,0.1,0.05,0.5
2023-01-31,2023-02-28,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.796309872132181,0.1616005558829226,mkt_vol,0.1709357426675394,0.2002682379480692,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.35,0.1,0.05,0.5
2023-02-28,2023-03-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.8070224320329084,0.16182188780241652,mkt_vol,0.1827970514762075,0.19967664982344924,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.35,0.1,0.05,0.5
2023-03-31,2023-04-28,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.7982222573558551,0.18530003749816584,mkt_vol,0.19149525462798955,0.19883410690141384,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.35,0.1,0.05,0.5
2023-04-28,2023-05-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.7801817907872234,0.12336599272198212,mkt_vol,0.13300679817301472,0.19718924107995775,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.35,0.1,0.05,0.5
2023-05-31,2023-06-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.781272885979593,0.13074524902297646,mkt_vol,0.14034388672961703,0.19542987786135502,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.35,0.1,0.05,0.5
2023-06-30,2023-07-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.7532371220150491,0.10618329158786997,mkt_vol,0.11415890892530414,0.19345203612306855,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.5,0.00025,0.7,0.2,0.1,0.0
2023-07-31,2023-08-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.7399812240504635,0.08638283199648887,mkt_vol,0.09665793875624541,0.19142548405932544,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
